,gzz,height,ratio
146,10.361822103861275,2000.0,0.5
147,65.97036545616497,2000.0,0.5
148,17.201639515782727,2000.0,0.5
149,128.7776272577625,2000.0,0.5
150,82.49555093921643,2000.0,0.5
151,18.117878066366426,2000.0,0.5
152,57.883909476380474,2000.0,0.5
153,11.952327680765226,2000.0,0.5
154,50.413717608899574,2000.0,0.5
155,58.065016220161276,2000.0,0.5
156,10.361822103861236,2000.0,0.5
157,65.97036545616487,2000.0,0.5
158,17.201639515782627,2000.0,0.5
159,128.7776272577625,2000.0,0.5
160,82.49555093922163,2000.0,0.5
161,14.588503702220628,2000.0,0.5
162,62.55393036373997,2000.0,0.5
163,10.443898726950067,2000.0,0.5
164,51.92386406289327,2000.0,0.5
165,58.180678178430874,2000.0,0.5
166,10.390632740828988,2000.0,0.5
