point,file,gx,gxx,gxy,gxz,gy,gyy,gyz,gz,gzz,pot,ratio,size
27,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-191.243188061395,4.1953080600457,-2.89323433087735,0.506852451115024,19.4274925453606,3.25357372287868,-0.0600709288789604,113.266244161922,-7.448881782924,14305.3721952158,0.0,30.0
28,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-123.487370295746,3.24443808125912,-0.256828259241606,0.310179110462285,0.126672915713812,0.31153147956874,-0.00105696659318069,110.641007384003,-3.55596956082762,14045.0362794029,0.0,30.0
29,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-76.7500434738231,2.11592220442879,0.023306835820211,0.188263897033696,-0.898279904004674,0.0200219689519115,0.00217309567957241,109.137519224037,-2.13594417338062,13880.4416660727,0.0,30.0
30,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-43.6936328130913,1.58418620506418,0.0240139077855177,0.105954555187591,-0.426353075122364,-0.0267152108895081,0.00104493675272722,108.271758796018,-1.55747099417468,13781.0821858941,0.0,30.0
31,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-15.9565243098267,1.45252045769542,0.0101141894082447,0.0383172546941973,-0.150347099940927,-0.109472022415258,0.000367476329986668,107.85141345124,-1.34304843528015,13731.5690162334,0.0,30.0
32,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,12.1760374035508,1.63118713946644,0.00323003860154428,-0.0300059419545273,-0.047098455007232,-0.260188371772805,0.000114946091933577,107.827626183599,-1.37099876769363,13727.9996487902,0.0,30.0
33,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,46.4022610883373,2.21888574397995,-0.000230951839429713,-0.11411606010943,-0.0231144143555309,-0.51826936213132,5.86525301101912e-05,108.250030148955,-1.70061638184863,13775.5699575114,0.0,30.0
34,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,96.8447138223221,3.72415498362374,-0.00927153149570165,-0.242847523726451,-0.0803531751418483,-1.01590841377815,0.00022348993208892,109.312212089105,-2.70824656984551,13891.7680116446,0.0,30.0
35,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,193.881138544316,8.6649964277899,-0.083791284048222,-0.520537244216128,-0.657878931797669,-2.34179498827765,0.00198650936331562,111.671820903179,-6.32320143951193,14123.541955504,0.0,30.0
36,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,514.383778079472,39.3767444535019,4.44550987713784,-2.01724084341389,6.798117634222,-4.32906106636643,-0.0703765377343348,120.100159748084,-35.047683387147,14648.5525136496,0.0,30.0
37,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-680.989614794957,-79.5682165222706,-171.490816734792,7.83242012074761,500.50306248323,305.990515885671,-8.22105468371099,155.09713766469,-226.422299362829,15443.8804546252,0.0,30.0
38,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-227.456142938958,14.9798458392257,0.384748954643442,0.770286026228254,-2.02659895869729,2.81775956279522,0.00747327043473334,117.615633210559,-17.7976054020169,14662.0159805528,0.0,30.0
39,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-93.459924412035,4.24815694750984,0.0076345349008462,0.257233986074215,-0.0226373244916473,2.59131678584406,7.56546283859766e-05,114.049275322932,-6.83947373335414,14416.9226043813,0.0,30.0
40,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-38.4696796750455,2.39428511752267,6.65564342372527e-06,0.100650880016654,-1.00528755595519e-05,2.12568097901629,3.16934118185785e-08,112.870026722844,-4.51996609653893,14310.9093876392,0.0,30.0
41,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,1.45661260830821e-13,2.00046642596705,-1.11022302462516e-16,-3.7470027081099e-16,1.24344978758018e-14,2.00046642596705,-6.93889390390723e-18,112.547292768937,-4.00093285193396,14279.6793431513,0.0,30.0
42,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-6.43535983924577,2.95476418499572,-0.129922591081474,0.0159352214672325,-1.99338958473058,-0.403342700340822,0.00449245694426586,110.577997337051,-2.55142148465481,14056.2315358465,0.0,30.0
43,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,49.1211253363901,3.54169021026685,0.185606170237088,-0.124500760967182,-1.74144010401608,-0.581940052169248,0.00361773275613951,110.908242530941,-2.95975015809751,14090.5392358073,0.0,30.0
44,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,127.090068570403,5.88169635244985,1.73842216409328,-0.334425507372856,10.2004460918956,-0.761834182109877,-0.0310376065224243,112.344268050465,-5.11986217033989,14232.358463082,0.0,30.0
45,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,272.402941559836,11.4522900443261,14.5536561750215,-0.816799247549567,110.944451880359,3.15355336699554,-0.366800566101642,116.27691080548,-14.6058434113167,14552.3693557459,0.0,30.0
46,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,231.697068580853,-44.2897231340707,40.609875390945,-0.969535856781286,702.311258723387,101.484298285097,-3.1237124411692,126.931247552594,-57.1945751510867,15095.7954447413,0.0,30.0
47,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-370.963056008473,4.24042321777144,-38.1560836847942,1.27946106874222,310.409571980132,26.2317113520724,-1.18231565264369,120.685372368702,-30.4721345698396,14810.8769860099,0.0,30.0
48,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-215.458461959793,7.4886134206609,-4.69849358153136,0.58396065993563,28.2567949775584,0.740788442758382,-0.0897170624712477,113.501425983034,-8.2294018634192,14320.4266855265,0.0,30.0
49,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-125.231258205013,3.58961196999436,-0.32829366925611,0.315429169191756,-1.049323165319,0.000530638986149357,0.00151917954459496,110.644773690729,-3.59014260898002,14044.8623999941,0.0,30.0
50,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-76.5000046517376,2.12932830765531,0.0643317971219717,0.187692709761731,-1.86393081206344,0.00296992761327214,0.00454230022518858,109.131411625358,-2.13229823526854,13879.732394701,0.0,30.0
51,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-43.5068727726916,1.57517591602198,0.0480063223901092,0.105496076520141,-0.828282064394315,-0.019714405785239,0.0020321266386816,108.269112452675,-1.55546151023674,13780.7830960524,0.0,30.0
52,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-15.8865642249276,1.44785243604511,0.0194829964817571,0.038145712405996,-0.28767279672326,-0.105395881144322,0.000703284003910197,107.850576884025,-1.34245655490077,13731.473637203,0.0,30.0
53,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,12.1962527417308,1.62946286062871,0.00616535720734901,-0.0300551059470991,-0.0897237556817139,-0.258624056018696,0.00021898551881163,107.827391363901,-1.37083880461,13727.9727582269,0.0,30.0
54,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,46.4019518953235,2.21778562306607,-0.000440772908068737,-0.114113663303778,-0.0439895657057559,-0.517314999914666,0.000111628537501705,108.24991617445,-1.70047062315139,13775.5582098168,0.0,30.0
55,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,96.8063138048382,3.71922465469931,-0.0177551133569024,-0.242735820015916,-0.153364015534045,-1.01200688159841,0.000426788943304959,109.311776641543,-2.70721777310079,13891.7321645043,0.0,30.0
56,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,193.576626102268,8.63185307059604,-0.168722766604112,-0.519582944505858,-1.28533756559504,-2.32020028941141,0.0039109117522599,111.668088883276,-6.3116527811838,14123.2870278039,0.0,30.0
57,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,526.542795889377,44.9563409394416,6.26237010105246,-2.12600819767347,6.64176096803544,-8.89877352670217,-0.0928984649940655,120.264747259774,-36.057567412736,14650.1942937429,0.0,30.0
58,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-1231.27973674393,74.6857802220247,-466.465191706697,21.1023368388392,1019.1816981664,295.177159330634,-21.2612117493058,177.740599652289,-369.862939552833,15576.8974987923,0.0,30.0
