point,file,gx,gxx,gxy,gxz,gy,gyy,gyz,gz,gzz,pot,ratio,size
20,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,1.8842499988677e-13,169.86204410185,3.66453215364998e-15,1.69496081525762e-14,-22.6912176100705,-62.7325408912156,1.1879108721467,128.153207955508,-107.129503208158,14276.0383830116,0.0,1.0
21,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,386.072068660999,753.172879474048,-119.374971812928,-147.640457469755,-60.3708063582226,-357.751663038814,16.638758548703,174.397171734894,-395.421216454808,14293.6712560333,0.0,1.0
22,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,-5826.52057833201,-5057.67607226237,42845.3383707129,48986.9472073363,-5826.48288448911,-5058.2264466876,48986.6320811859,6968.11057390879,10115.902444925,14484.7086924042,0.0,1.0
23,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,-284.736322449069,430.577536615463,57.6161509635805,69.7074363226403,-37.4881716349224,-195.945424279617,6.55437414445185,148.32673214426,-234.632112331806,14281.6402629625,0.0,1.0
24,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,-49.3648613685728,90.1888651079726,4.34440121952009,4.45358525067743,-14.1713236982596,-26.0478901592344,0.529538482309443,121.513533072538,-64.1409749462332,14264.7819507655,0.0,1.0
25,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,49.357178861351,90.1851641284318,-4.34326583531786,-4.45304863247646,-14.1707082944315,-26.045837126751,0.52950467171247,121.513279008681,-64.1393270008098,14264.7815203252,0.0,1.0
26,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,284.711848659616,430.542699427681,-57.6065272580277,-69.7015132544256,-37.4835429194524,-195.927312845441,6.55332639140049,148.324108788292,-234.615386563427,14281.6381973277,0.0,1.0
27,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,5826.46677416795,-5055.14847163456,-42843.5125116589,-48988.9915823359,-5825.90899957638,-5063.3705351619,48984.287481977,6968.02090467153,10118.51864197,14484.6948923543,0.0,1.0
28,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,-386.041527236738,753.10833326626,119.355373059974,147.628470284964,-60.3622881447643,-357.717371259523,16.6360577190372,174.392361637699,-395.390962053728,14293.6681584629,0.0,1.0
29,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,-0.00920476454392015,169.836660330593,0.00154522250362722,0.000968403803416882,-22.6879277559454,-62.7165293399348,1.18773632956926,128.151762881104,-107.120130984521,14276.0361887689,0.0,1.0
30,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,9.59579909021874e-14,71.5463763772914,1.38404653504597e-14,2.11833088718077e-15,-61.7138747280335,6.7159488974044,4.43532919554881,123.694551522015,-78.2623252731269,14269.85956264,0.0,1.0
31,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,81.6128140859419,39.2154452020421,-137.41793517314,-15.3490676235402,-137.133659009509,92.8470273117563,20.1832534696142,132.069172084361,-132.062472509326,14275.2191693798,0.0,1.0
32,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,-37.4879206105643,-195.951072837861,57.6155471564602,6.55433583996994,-284.739136355113,430.58744657909,69.7093377503,148.327414243723,-234.636373722289,14281.6406384774,0.0,1.0
33,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,-100.234207134343,51.9500110057137,112.236625984679,12.8220686316124,-100.232979636086,51.9506758328974,12.8220298704277,127.677030663185,-103.900686836161,14269.6038092494,0.0,1.0
34,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,-30.493816983362,51.1015950293448,18.920479894834,2.26206778318148,-31.337122872255,1.95809873594579,1.77905756824592,119.802407343934,-53.0596937635904,14261.5864449156,0.0,1.0
35,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,30.4922987358898,51.1027782858818,-18.9158400339714,-2.26200323694827,-31.3344279768846,1.95658598168063,1.77890392468048,119.802356709847,-53.0593642671885,14261.5863373632,0.0,1.0
