difference,field,height,ratio,shell,size,tesseroid
-9.108228395777175,gxx,250000,0,-14.689691007842423,5.0,-23.7979194036196
-0.8733034573711436,gxx,500000,0,-13.070256879250856,5.0,-13.943560336622
-84.76009827163762,gxx,1,1,-16.57849600870437,5.0,-101.338594280342
-50.335254817750155,gxx,100,1,-16.577687598282143,5.0,-66.9129424160323
-26.34921592819981,gxx,1000,1,-16.570340753400586,5.0,-42.9195566816004
-12.368393579532182,gxx,10000,1,-16.497103666466117,5.0,-28.8654972459983
-5.295392651958137,gxx,100000,1,-15.787277026647663,5.0,-21.0826696786058
-1.3017827227884773,gxx,250000,1,-14.689691007842423,5.0,-15.9914737306309
-0.8733034573711436,gxx,500000,1,-13.070256879250856,5.0,-13.943560336622
0.0043981966483706,gxx,1,2,-16.57849600870437,5.0,-16.574097812056
0.0605859250088443,gxx,100,2,-16.577687598282143,5.0,-16.5171016732733
0.03529808224998732,gxx,1000,2,-16.570340753400586,5.0,-16.5350426711506
0.03360757822761684,gxx,10000,2,-16.497103666466117,5.0,-16.4634960882385
0.0012178550194636983,gxx,100000,2,-15.787277026647663,5.0,-15.7860591716282
0.0012065343375233795,gxx,250000,2,-14.689691007842423,5.0,-14.6884844735049
-0.0008307509238445476,gxx,500000,2,-13.070256879250856,5.0,-13.0710876301747
-0.24736785202413003,gxx,1,3,-16.57849600870437,5.0,-16.8258638607285
0.03611253004694248,gxx,100,3,-16.577687598282143,5.0,-16.5415750682352
0.018813378187886087,gxx,1000,3,-16.570340753400586,5.0,-16.5515273752127
0.006583613306418101,gxx,10000,3,-16.497103666466117,5.0,-16.4905200531597
0.0102447123375633,gxx,100000,3,-15.787277026647663,5.0,-15.7770323143101
0.00630307164352395,gxx,250000,3,-14.689691007842423,5.0,-14.6833879361989
0.0038214174190560612,gxx,500000,3,-13.070256879250856,5.0,-13.0664354618318
-0.3549865957074303,gxx,1,4,-16.57849600870437,5.0,-16.9334826044118
0.008194040054444685,gxx,100,4,-16.577687598282143,5.0,-16.5694935582277
0.006254292129487027,gxx,1000,4,-16.570340753400586,5.0,-16.5640864612711
0.002379395427116293,gxx,10000,4,-16.497103666466117,5.0,-16.494724271039
-0.0001868404045364258,gxx,100000,4,-15.787277026647663,5.0,-15.7874638670522
0.0008006840845240504,gxx,250000,4,-14.689691007842423,5.0,-14.6888903237579
8.601984175626853e-05,gxx,500000,4,-13.070256879250856,5.0,-13.0701708594091
-0.07009108502833072,gxx,1,5,-16.57849600870437,5.0,-16.6485870937327
0.0021215793422442175,gxx,100,5,-16.577687598282143,5.0,-16.5755660189399
0.0010770273980860168,gxx,1000,5,-16.570340753400586,5.0,-16.5692637260025
0.0010424799900157211,gxx,10000,5,-16.497103666466117,5.0,-16.4960611864761
0.0003603485242624771,gxx,100000,5,-15.787277026647663,5.0,-15.7869166781234
7.361375512360269e-05,gxx,250000,5,-14.689691007842423,5.0,-14.6896173940873
0.00023951042005521117,gxx,500000,5,-13.070256879250856,5.0,-13.0700173688308
-0.012668493846028639,gxx,1,6,-16.57849600870437,5.0,-16.5911645025504
0.00044544385074374304,gxx,100,6,-16.577687598282143,5.0,-16.5772421544314
0.00024046253918541538,gxx,1000,6,-16.570340753400586,5.0,-16.5701002908614
3.4541672416565916e-05,gxx,10000,6,-16.497103666466117,5.0,-16.4970691247937
0.0003238510447634013,gxx,100000,6,-15.787277026647663,5.0,-15.7869531756029
0.00022307229172291443,gxx,250000,6,-14.689691007842423,5.0,-14.6894679355507
0.0001700124598560393,gxx,500000,6,-13.070256879250856,5.0,-13.070086866791
3.2329597871694205e-05,gxx,1,7,-16.57849600870437,5.0,-16.5784636791065
0.000364788639142688,gxx,100,7,-16.577687598282143,5.0,-16.577322809643
0.0003455238204850275,gxx,1000,7,-16.570340753400586,5.0,-16.5699952295801
2.6383420216546938e-05,gxx,10000,7,-16.497103666466117,5.0,-16.4970772830459
3.753221163194098e-06,gxx,100000,7,-15.787277026647663,5.0,-15.7872732734265
0.00011024256712310887,gxx,250000,7,-14.689691007842423,5.0,-14.6895807652753
6.323507435546105e-05,gxx,500000,7,-13.070256879250856,5.0,-13.0701936441765
0.019472044901071683,gxx,1,8,-16.57849600870437,5.0,-16.5590239638033
0.00014645976624194645,gxx,100,8,-16.577687598282143,5.0,-16.5775411385159
0.00016960297978485528,gxx,1000,8,-16.570340753400586,5.0,-16.5701711504208
8.934395891557756e-05,gxx,10000,8,-16.497103666466117,5.0,-16.4970143225072
-4.1951979236287684e-05,gxx,100000,8,-15.787277026647663,5.0,-15.7873189786269
-7.870209875804335e-06,gxx,250000,8,-14.689691007842423,5.0,-14.6896988780523
-2.369622214359879e-05,gxx,500000,8,-13.070256879250856,5.0,-13.070280575473
193.56633241655837,gxx,1,0,-16.57849600870437,10.0,176.987836407854
193.52339159784916,gxx,100,0,-16.577687598282143,10.0,176.945703999567
193.1281274492846,gxx,1000,0,-16.570340753400586,10.0,176.557786695884
188.7040706669871,gxx,10000,0,-16.497103666466117,10.0,172.206967000521
115.15408887334115,gxx,100000,0,-15.787277026647663,10.0,99.3668118466935
17.992935264214402,gxx,250000,0,-14.689691007842423,10.0,3.30324425637198
-4.635147526086644,gxx,500000,0,-13.070256879250856,10.0,-17.7054044053375
-87.68774073516863,gxx,1,1,-16.57849600870437,10.0,-104.266236743873
-51.835750076079364,gxx,100,1,-16.577687598282143,10.0,-68.4134376743615
-29.13401193174021,gxx,1000,1,-16.570340753400586,10.0,-45.7043526851408
-15.274705586720682,gxx,10000,1,-16.497103666466117,10.0,-31.7718092531868
-5.366201898635937,gxx,100000,1,-15.787277026647663,10.0,-21.1534789252836
-1.3378284582586772,gxx,250000,1,-14.689691007842423,10.0,-16.0275194661011
-0.859275872213944,gxx,500000,1,-13.070256879250856,10.0,-13.9295327514648
0.013011667670969729,gxx,1,2,-16.57849600870437,10.0,-16.5654843410334
0.07506485949974362,gxx,100,2,-16.577687598282143,10.0,-16.5026227387824
0.05998545250298548,gxx,1000,2,-16.570340753400586,10.0,-16.5103553008976
0.04260546795011777,gxx,10000,2,-16.497103666466117,10.0,-16.454498198516
-0.001475775133336299,gxx,100000,2,-15.787277026647663,10.0,-15.788752801781
-0.0004252760360774488,gxx,250000,2,-14.689691007842423,10.0,-14.6901162838785
-0.0005987910682438979,gxx,500000,2,-13.070256879250856,10.0,-13.0708556703191
-0.17412477727902953,gxx,1,3,-16.57849600870437,10.0,-16.7526207859834
0.03694202610744313,gxx,100,3,-16.577687598282143,10.0,-16.5407455721747
0.02002928931808512,gxx,1000,3,-16.570340753400586,10.0,-16.5503114640825
0.006580893665216081,gxx,10000,3,-16.497103666466117,10.0,-16.4905227728009
0.011190086962862722,gxx,100000,3,-15.787277026647663,10.0,-15.7760869396848
0.00535363768962327,gxx,250000,3,-14.689691007842423,10.0,-14.6843373701528
0.003480939331454991,gxx,500000,3,-13.070256879250856,10.0,-13.0667759399194
-0.26452500010152846,gxx,1,4,-16.57849600870437,10.0,-16.8430210088059
0.007858946997743033,gxx,100,4,-16.577687598282143,10.0,-16.5698286512844
0.006296443080184844,gxx,1000,4,-16.570340753400586,10.0,-16.5640443103204
0.0023247569417179648,gxx,10000,4,-16.497103666466117,10.0,-16.4947789095244
-0.00017375484833692667,gxx,100000,4,-15.787277026647663,10.0,-15.787450781496
0.0007010411188232979,gxx,250000,4,-14.689691007842423,10.0,-14.6889899667236
1.9705568055528033e-05,gxx,500000,4,-13.070256879250856,10.0,-13.0702371736828
-0.10794554623102925,gxx,1,5,-16.57849600870437,10.0,-16.6864415549354
0.002064464861842197,gxx,100,5,-16.577687598282143,10.0,-16.5756231334203
0.0011453845751852043,gxx,1000,5,-16.570340753400586,10.0,-16.5691953688254
0.0010332549217153542,gxx,10000,5,-16.497103666466117,10.0,-16.4960704115444
0.0003295756789629678,gxx,100000,5,-15.787277026647663,10.0,-15.7869474509687
4.315259352338785e-05,gxx,250000,5,-14.689691007842423,10.0,-14.6896478552489
0.0002059200004556061,gxx,500000,5,-13.070256879250856,10.0,-13.0700509592504
-0.03593654901763088,gxx,1,6,-16.57849600870437,10.0,-16.614432557722
0.000462942900444574,gxx,100,6,-16.577687598282143,10.0,-16.5772246553817
0.0002088540169857822,gxx,1000,6,-16.570340753400586,10.0,-16.5701318993836
3.142122841737205e-05,gxx,10000,6,-16.497103666466117,10.0,-16.4970722452377
0.0003127964742635214,gxx,100000,6,-15.787277026647663,10.0,-15.7869642301734
0.00021005093002379738,gxx,250000,6,-14.689691007842423,10.0,-14.6894809569124
0.00016411125355553224,gxx,500000,6,-13.070256879250856,10.0,-13.0700927679973
-0.021724832341231348,gxx,1,7,-16.57849600870437,10.0,-16.6002208410456
0.00036899250904198766,gxx,100,7,-16.577687598282143,10.0,-16.5773186057731
0.00034259722058749276,gxx,1000,7,-16.570340753400586,10.0,-16.56999815618
2.2610965718428133e-05,gxx,10000,7,-16.497103666466117,10.0,-16.4970810555004
-4.685798636216987e-06,gxx,100000,7,-15.787277026647663,10.0,-15.7872817124463
0.00010592240932361108,gxx,250000,7,-14.689691007842423,10.0,-14.6895850854331
5.988638805654034e-05,gxx,500000,7,-13.070256879250856,10.0,-13.0701969928628
-0.018154383623528503,gxx,1,8,-16.57849600870437,10.0,-16.5966503923279
0.0001692097853442931,gxx,100,8,-16.577687598282143,10.0,-16.5775183884968
0.00017516628778579957,gxx,1000,8,-16.570340753400586,10.0,-16.5701655871128
8.883140091597852e-05,gxx,10000,8,-16.497103666466117,10.0,-16.4970148350652
-4.1104630636112915e-05,gxx,100000,8,-15.787277026647663,10.0,-15.7873181312783
-4.920052477430659e-06,gxx,250000,8,-14.689691007842423,10.0,-14.6896959278949
-2.362773114406025e-05,gxx,500000,8,-13.070256879250856,10.0,-13.070280506982
60.36995896437857,gxx,1,0,-16.57849600870437,20.0,43.7914629556742
60.365069685605036,gxx,100,0,-16.577687598282143,20.0,43.7873820873229
60.320480008879784,gxx,1000,0,-16.570340753400586,20.0,43.7501392554792
59.860680405228415,gxx,10000,0,-16.497103666466117,20.0,43.3635767387623
54.036093121843166,gxx,100000,0,-15.787277026647663,20.0,38.2488160951955
41.37799650992372,gxx,250000,0,-14.689691007842423,20.0,26.6883055020813
21.799707540554785,gxx,500000,0,-13.070256879250856,20.0,8.72945066130393
-92.31194503183363,gxx,1,1,-16.57849600870437,20.0,-108.890441040538
-53.39918321031736,gxx,100,1,-16.577687598282143,20.0,-69.9768708085995
-32.176196638519016,gxx,1000,1,-16.570340753400586,20.0,-48.7465373919196
-16.052894853123284,gxx,10000,1,-16.497103666466117,20.0,-32.5499985195894
-5.9969209288055385,gxx,100000,1,-15.787277026647663,20.0,-21.7841979554532
-1.714767483002177,gxx,250000,1,-14.689691007842423,20.0,-16.4044584908446
-0.8081365824241438,gxx,500000,1,-13.070256879250856,20.0,-13.878393461675
0.11847754873597083,gxx,1,2,-16.57849600870437,20.0,-16.4600184599684
0.09255459741174477,gxx,100,2,-16.577687598282143,20.0,-16.4851330008704
0.06529046014638595,gxx,1000,2,-16.570340753400586,20.0,-16.5050502932542
0.04196434696301665,gxx,10000,2,-16.497103666466117,20.0,-16.4551393195031
-0.0053269094966363895,gxx,100000,2,-15.787277026647663,20.0,-15.7926039361443
-0.0059134798453772675,gxx,250000,2,-14.689691007842423,20.0,-14.6956044876878
-0.004260427757843743,gxx,500000,2,-13.070256879250856,20.0,-13.0745173070087
-0.19087989439923092,gxx,1,3,-16.57849600870437,20.0,-16.7693759031036
0.03852510268704279,gxx,100,3,-16.577687598282143,20.0,-16.5391624955951
0.020138321864486386,gxx,1000,3,-16.570340753400586,20.0,-16.5502024315361
0.007267077087018237,gxx,10000,3,-16.497103666466117,20.0,-16.4898365893791
0.010807853276563861,gxx,100000,3,-15.787277026647663,20.0,-15.7764691733711
0.004578337230922713,gxx,250000,3,-14.689691007842423,20.0,-14.6851126706115
0.003091757992356392,gxx,500000,3,-13.070256879250856,20.0,-13.0671651212585
-0.3186023849056312,gxx,1,4,-16.57849600870437,20.0,-16.89709839361
0.007992494213642232,gxx,100,4,-16.577687598282143,20.0,-16.5696951040685
0.006438164471987307,gxx,1000,4,-16.570340753400586,20.0,-16.5639025889286
0.002453573403617071,gxx,10000,4,-16.497103666466117,20.0,-16.4946500930625
-0.00021215519063666477,gxx,100000,4,-15.787277026647663,20.0,-15.7874891818383
0.0007128448985227465,gxx,250000,4,-14.689691007842423,20.0,-14.6889781629439
1.3182180156334766e-05,gxx,500000,4,-13.070256879250856,20.0,-13.0702436970707
-0.1347131488626303,gxx,1,5,-16.57849600870437,20.0,-16.713209157567
0.0021372696751420506,gxx,100,5,-16.577687598282143,20.0,-16.575550328607
0.0011718832962870351,gxx,1000,5,-16.570340753400586,20.0,-16.5691688701043
0.0010328879910161959,gxx,10000,5,-16.497103666466117,20.0,-16.4960707784751
0.00032858970706328705,gxx,100000,5,-15.787277026647663,20.0,-15.7869484369406
5.0560368723751026e-05,gxx,250000,5,-14.689691007842423,20.0,-14.6896404474737
0.00020591937635572322,gxx,500000,5,-13.070256879250856,20.0,-13.0700509598745
-0.0862309013692304,gxx,1,6,-16.57849600870437,20.0,-16.6647269100736
0.0004870100988441095,gxx,100,6,-16.577687598282143,20.0,-16.5772005881833
0.00021541706438554797,gxx,1000,6,-16.570340753400586,20.0,-16.5701253363362
3.903862581822182e-05,gxx,10000,6,-16.497103666466117,20.0,-16.4970646278403
0.0003197634365630364,gxx,100000,6,-15.787277026647663,20.0,-15.7869572632111
0.00020659180322368798,gxx,250000,6,-14.689691007842423,20.0,-14.6894844160392
0.00017021901155622743,gxx,500000,6,-13.070256879250856,20.0,-13.0700866602393
-0.0819855499889286,gxx,1,7,-16.57849600870437,20.0,-16.6604815586933
0.000358887306141753,gxx,100,7,-16.577687598282143,20.0,-16.577328710976
0.0003367803470872843,gxx,1000,7,-16.570340753400586,20.0,-16.5700039730535
2.1781803617670903e-05,gxx,10000,7,-16.497103666466117,20.0,-16.4970818846625
-3.853326036917792e-06,gxx,100000,7,-15.787277026647663,20.0,-15.7872808799737
0.00010813522122354868,gxx,250000,7,-14.689691007842423,20.0,-14.6895828726212
6.030261735645581e-05,gxx,500000,7,-13.070256879250856,20.0,-13.0701965766335
-0.0610199603199284,gxx,1,8,-16.57849600870437,20.0,-16.6395159690243
0.00016222145454136694,gxx,100,8,-16.577687598282143,20.0,-16.5775253768276
0.00017802906748798364,gxx,1000,8,-16.570340753400586,20.0,-16.5701627243331
9.100109961579506e-05,gxx,10000,8,-16.497103666466117,20.0,-16.4970126653665
-4.110152043601545e-05,gxx,100000,8,-15.787277026647663,20.0,-15.7873181281681
-3.234303177279685e-06,gxx,250000,8,-14.689691007842423,20.0,-14.6896942421456
-2.274348714337293e-05,gxx,500000,8,-13.070256879250856,20.0,-13.070279622738
-1.0755382309224e-15,gxy,1,0,0.0,0.1,-1.0755382309224e-15
-2.58976311265548e-14,gxy,100,0,0.0,0.1,-2.58976311265548e-14
-2.58670938866972e-14,gxy,1000,0,0.0,0.1,-2.58670938866972e-14
-9.20843409577618e-15,gxy,10000,0,0.0,0.1,-9.20843409577618e-15
6.91563886475233e-16,gxy,100000,0,0.0,0.1,6.91563886475233e-16
-1.99845264457892e-16,gxy,250000,0,0.0,0.1,-1.99845264457892e-16
-1.21940203845124e-16,gxy,500000,0,0.0,0.1,-1.21940203845124e-16
5.46042368304355e-13,gxy,1,1,0.0,0.1,5.46042368304355e-13
8.77892065950613e-14,gxy,100,1,0.0,0.1,8.77892065950613e-14
3.09763249741109e-14,gxy,1000,1,0.0,0.1,3.09763249741109e-14
5.00242061942582e-15,gxy,10000,1,0.0,0.1,5.00242061942582e-15
6.91563886475233e-16,gxy,100000,1,0.0,0.1,6.91563886475233e-16
-1.99845264457892e-16,gxy,250000,1,0.0,0.1,-1.99845264457892e-16
-1.21940203845124e-16,gxy,500000,1,0.0,0.1,-1.21940203845124e-16
-4.54046532277986e-13,gxy,1,2,0.0,0.1,-4.54046532277986e-13
-3.54523646415601e-13,gxy,100,2,0.0,0.1,-3.54523646415601e-13
7.8836860619076e-15,gxy,1000,2,0.0,0.1,7.8836860619076e-15
1.21078479770268e-14,gxy,10000,2,0.0,0.1,1.21078479770268e-14
6.91563886475233e-16,gxy,100000,2,0.0,0.1,6.91563886475233e-16
-1.99845264457892e-16,gxy,250000,2,0.0,0.1,-1.99845264457892e-16
-1.21940203845124e-16,gxy,500000,2,0.0,0.1,-1.21940203845124e-16
3.46202223871827e-13,gxy,1,3,0.0,0.1,3.46202223871827e-13
6.82492813616585e-14,gxy,100,3,0.0,0.1,6.82492813616585e-14
2.20945407771096e-14,gxy,1000,3,0.0,0.1,2.20945407771096e-14
-3.23010730079794e-14,gxy,10000,3,0.0,0.1,-3.23010730079794e-14
